Seq_86	QWKM01000086.1 Sorghum bicolor cultivar Tx430 Contig_193, whole genome shotgun sequence
Seq_87	QWKM01000087.1 Sorghum bicolor cultivar Tx430 Contig_194, whole genome shotgun sequence
Seq_88	QWKM01000088.1 Sorghum bicolor cultivar Tx430 Contig_195, whole genome shotgun sequence
Seq_89	QWKM01000089.1 Sorghum bicolor cultivar Tx430 Contig_196, whole genome shotgun sequence
Seq_90	QWKM01000090.1 Sorghum bicolor cultivar Tx430 Contig_197, whole genome shotgun sequence
Seq_91	QWKM01000091.1 Sorghum bicolor cultivar Tx430 Contig_198, whole genome shotgun sequence
Seq_92	QWKM01000092.1 Sorghum bicolor cultivar Tx430 Contig_2, whole genome shotgun sequence
Seq_93	QWKM01000093.1 Sorghum bicolor cultivar Tx430 Contig_20, whole genome shotgun sequence
Seq_94	QWKM01000094.1 Sorghum bicolor cultivar Tx430 Contig_200, whole genome shotgun sequence
Seq_95	QWKM01000095.1 Sorghum bicolor cultivar Tx430 Contig_201, whole genome shotgun sequence
Seq_96	QWKM01000096.1 Sorghum bicolor cultivar Tx430 Contig_202, whole genome shotgun sequence
Seq_97	QWKM01000097.1 Sorghum bicolor cultivar Tx430 Contig_203, whole genome shotgun sequence
Seq_98	QWKM01000098.1 Sorghum bicolor cultivar Tx430 Contig_204, whole genome shotgun sequence
Seq_99	QWKM01000099.1 Sorghum bicolor cultivar Tx430 Contig_205, whole genome shotgun sequence
Seq_100	QWKM01000100.1 Sorghum bicolor cultivar Tx430 Contig_206, whole genome shotgun sequence
Seq_101	QWKM01000101.1 Sorghum bicolor cultivar Tx430 Contig_208, whole genome shotgun sequence
Seq_102	QWKM01000102.1 Sorghum bicolor cultivar Tx430 Contig_209, whole genome shotgun sequence
Seq_103	QWKM01000103.1 Sorghum bicolor cultivar Tx430 Contig_21, whole genome shotgun sequence
Seq_104	QWKM01000104.1 Sorghum bicolor cultivar Tx430 Contig_210, whole genome shotgun sequence
Seq_105	QWKM01000105.1 Sorghum bicolor cultivar Tx430 Contig_213, whole genome shotgun sequence
Seq_106	QWKM01000106.1 Sorghum bicolor cultivar Tx430 Contig_214, whole genome shotgun sequence
Seq_107	QWKM01000107.1 Sorghum bicolor cultivar Tx430 Contig_215, whole genome shotgun sequence
Seq_108	QWKM01000108.1 Sorghum bicolor cultivar Tx430 Contig_216, whole genome shotgun sequence
Seq_109	QWKM01000109.1 Sorghum bicolor cultivar Tx430 Contig_217, whole genome shotgun sequence
Seq_110	QWKM01000110.1 Sorghum bicolor cultivar Tx430 Contig_218, whole genome shotgun sequence
Seq_111	QWKM01000111.1 Sorghum bicolor cultivar Tx430 Contig_219, whole genome shotgun sequence
Seq_112	QWKM01000112.1 Sorghum bicolor cultivar Tx430 Contig_22, whole genome shotgun sequence
Seq_113	QWKM01000113.1 Sorghum bicolor cultivar Tx430 Contig_220, whole genome shotgun sequence
Seq_114	QWKM01000114.1 Sorghum bicolor cultivar Tx430 Contig_221, whole genome shotgun sequence
Seq_115	QWKM01000115.1 Sorghum bicolor cultivar Tx430 Contig_223, whole genome shotgun sequence
Seq_116	QWKM01000116.1 Sorghum bicolor cultivar Tx430 Contig_224, whole genome shotgun sequence
Seq_117	QWKM01000117.1 Sorghum bicolor cultivar Tx430 Contig_225, whole genome shotgun sequence
Seq_118	QWKM01000118.1 Sorghum bicolor cultivar Tx430 Contig_226, whole genome shotgun sequence
Seq_119	QWKM01000119.1 Sorghum bicolor cultivar Tx430 Contig_227, whole genome shotgun sequence
Seq_120	QWKM01000120.1 Sorghum bicolor cultivar Tx430 Contig_228, whole genome shotgun sequence
Seq_121	QWKM01000121.1 Sorghum bicolor cultivar Tx430 Contig_23, whole genome shotgun sequence
Seq_122	QWKM01000122.1 Sorghum bicolor cultivar Tx430 Contig_230, whole genome shotgun sequence
Seq_123	QWKM01000123.1 Sorghum bicolor cultivar Tx430 Contig_231, whole genome shotgun sequence
Seq_124	QWKM01000124.1 Sorghum bicolor cultivar Tx430 Contig_232, whole genome shotgun sequence
Seq_125	QWKM01000125.1 Sorghum bicolor cultivar Tx430 Contig_234, whole genome shotgun sequence
Seq_126	QWKM01000126.1 Sorghum bicolor cultivar Tx430 Contig_235, whole genome shotgun sequence
Seq_127	QWKM01000127.1 Sorghum bicolor cultivar Tx430 Contig_236, whole genome shotgun sequence
Seq_128	QWKM01000128.1 Sorghum bicolor cultivar Tx430 Contig_238, whole genome shotgun sequence
Seq_129	QWKM01000129.1 Sorghum bicolor cultivar Tx430 Contig_239, whole genome shotgun sequence
Seq_130	QWKM01000130.1 Sorghum bicolor cultivar Tx430 Contig_24, whole genome shotgun sequence
Seq_131	QWKM01000131.1 Sorghum bicolor cultivar Tx430 Contig_240, whole genome shotgun sequence
Seq_132	QWKM01000132.1 Sorghum bicolor cultivar Tx430 Contig_241, whole genome shotgun sequence
Seq_133	QWKM01000133.1 Sorghum bicolor cultivar Tx430 Contig_242, whole genome shotgun sequence
Seq_134	QWKM01000134.1 Sorghum bicolor cultivar Tx430 Contig_243, whole genome shotgun sequence
Seq_135	QWKM01000135.1 Sorghum bicolor cultivar Tx430 Contig_244, whole genome shotgun sequence
Seq_136	QWKM01000136.1 Sorghum bicolor cultivar Tx430 Contig_245, whole genome shotgun sequence
Seq_137	QWKM01000137.1 Sorghum bicolor cultivar Tx430 Contig_247, whole genome shotgun sequence
Seq_138	QWKM01000138.1 Sorghum bicolor cultivar Tx430 Contig_248, whole genome shotgun sequence
Seq_139	QWKM01000139.1 Sorghum bicolor cultivar Tx430 Contig_249, whole genome shotgun sequence
Seq_140	QWKM01000140.1 Sorghum bicolor cultivar Tx430 Contig_25, whole genome shotgun sequence
Seq_141	QWKM01000141.1 Sorghum bicolor cultivar Tx430 Contig_250, whole genome shotgun sequence
Seq_142	QWKM01000142.1 Sorghum bicolor cultivar Tx430 Contig_251, whole genome shotgun sequence
Seq_143	QWKM01000143.1 Sorghum bicolor cultivar Tx430 Contig_253, whole genome shotgun sequence
Seq_144	QWKM01000144.1 Sorghum bicolor cultivar Tx430 Contig_254, whole genome shotgun sequence
Seq_145	QWKM01000145.1 Sorghum bicolor cultivar Tx430 Contig_256, whole genome shotgun sequence
Seq_146	QWKM01000146.1 Sorghum bicolor cultivar Tx430 Contig_257, whole genome shotgun sequence
Seq_147	QWKM01000147.1 Sorghum bicolor cultivar Tx430 Contig_259, whole genome shotgun sequence
Seq_148	QWKM01000148.1 Sorghum bicolor cultivar Tx430 Contig_260, whole genome shotgun sequence
Seq_149	QWKM01000149.1 Sorghum bicolor cultivar Tx430 Contig_261, whole genome shotgun sequence
Seq_150	QWKM01000150.1 Sorghum bicolor cultivar Tx430 Contig_262, whole genome shotgun sequence
Seq_151	QWKM01000151.1 Sorghum bicolor cultivar Tx430 Contig_263, whole genome shotgun sequence
Seq_152	QWKM01000152.1 Sorghum bicolor cultivar Tx430 Contig_265, whole genome shotgun sequence
Seq_153	QWKM01000153.1 Sorghum bicolor cultivar Tx430 Contig_266, whole genome shotgun sequence
Seq_154	QWKM01000154.1 Sorghum bicolor cultivar Tx430 Contig_267, whole genome shotgun sequence
Seq_155	QWKM01000155.1 Sorghum bicolor cultivar Tx430 Contig_268, whole genome shotgun sequence
